Timestamp,Pleaseconfirmyourvoluntaryparticipationandgiveyourconsentfordata,Profession,Country,Region,Place of residence province,@4.HighestLevelofeducation,@5.Whichsettingdoyouwork,sex,Age,@8.Maritalstatus,@9.MonthlytotalIncomefamilyincomeinlocalcurrencyoptional,COVIDNewsUpdates,A1.1HaveyouheardaboutCOVID19,A1.2 Where did you hear about COVID-19 most? (check all that apply ) [Television/Radio],A1.2 Where did you hear about COVID-19 most? (check all that apply ) [Newspaper/ Magazines],WheredidyouhearaboutCOVID19mostcheckallthatapplySocialmedia,A1.2 Where did you hear about COVID-19 most? (check all that apply ) [Colleagues/workplace],A1.2 Where did you hear about COVID-19 most? (check all that apply ) [Neighbors],A3.8 Do you or your household members use internet?,A3.9 Please indicate which of the following do you use for COVID-19 update (check all that apply)? [Newspaper],A3.9 Please indicate which of the following do you use for COVID-19 update (check all that apply)? [TV (local/ international)],"A3.9 Please indicate which of the following do you use for COVID-19 update (check all that apply)? [Social media (Facebook, Instagram, Line, YouTube etc.)]",A3.9 Please indicate which of the following do you use for COVID-19 update (check all that apply)? [Internet (WHO websites)],"A3.10 How much time, on average, per day do you spend on the topics related to COVID-19 (e.g. via news coverage, work, conversations, thoughts)? Please indicate a daily average..",COVIDK0wledgeampAwarenesPublicOpinion,B1.3 How would you rate the extend of your k0wledge of COVID-19?,B1.4 How does COVID19 Spread/Transmitted (check all that apply) [Contact with respiratory droplets],B1.4 How does COVID19 Spread/Transmitted (check all that apply) [Touching and shaking hands with an infected person],B1.4 How does COVID19 Spread/Transmitted (check all that apply) [The use of objects used by an infected person],B1.4 How does COVID19 Spread/Transmitted (check all that apply) [Sexual route],B1.4 How does COVID19 Spread/Transmitted (check all that apply) [Person-to-person],B1.4 How does COVID19 Spread/Transmitted (check all that apply) [Close contact],B1.4 How does COVID19 Spread/Transmitted (check all that apply) [Touching currency/Coin],B1.4 How does COVID19 Spread/Transmitted (check all that apply) [COVID-19 can float on air almost 30 minutes],"B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [Fever]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [Tiredness]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [Dry cough]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [Shortness of breath/Breathing difficulties]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [aches and pains]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [nasal congestion]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [runny 0se]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [sore throat]","B1.5 In your opinion, what are the signs and symptoms of COVID-19 (check all that apply) [Diarrhea]",N90 mask(s) do you think is best to control the spread of the COVID-19? (If yes then 1 else 0),"C1.10 Is anyone in your immediate environment at risk of infection with COVID-19 (e.g. parents, siblings, close friends/colleagues) due to the following? (please select all relevant responses) [age (over 60 years)]","C1.10 Is anyone in your immediate environment at risk of infection with COVID-19 (e.g. parents, siblings, close friends/colleagues) due to the following? (please select all relevant responses) [severe pre-existing conditions (e.g. Respiratory diseases, heart diseases, cancer, immune deficiency problem)]","C1.10 Is anyone in your immediate environment at risk of infection with COVID-19 (e.g. parents, siblings, close friends/colleagues) due to the following? (please select all relevant responses) [work environment (e.g. Working in the health care environment and involving in contact with patients)]","C1.10 Is anyone in your immediate environment at risk of infection with COVID-19 (e.g. parents, siblings, close friends/colleagues) due to the following? (please select all relevant responses) [exposure to a risk zone/areas/countries (e.g. China, Italy etc.)]",Knowledge scoring {22/22},B1.6 Which mask(s) do you think is best to control the spread of the COVID-19?,B1.7 How long is the incubation period for COVID-19?,"B1.8 Are there any vaccines, drugs or treatments for COVID-19?",B2.1 Do you think the government should lock-down/restrict travel areas to avoid spread of COVID-19?,B2.2 Do you think home quarantine can reduce COVID-19 outbreaks?,B2.3 Isolation and treatment of infected people are effective ways to reduce the spread of the virus?,B2.4 Do you think personal hygiene is important in controlling the spread of COVID-19?,B2.5 Media should take a leading role in raising awareness coronavirus risk reduction and prevention issues ?,Opinion-scoring {25/25},COVID Circumstances /Stiuation,C1.9 Please check for which you familiar with? (check all that apply) [lock-down],C1.9 Please check for which you familiar with? (check all that apply) [self-isolation],C1.9 Please check for which you familiar with? (check all that apply) [home quarantine],C2.6 Do you think you are at increased personal risk of infection with COVID-19 due to any of the following?(please select all relevant responses) [age (over 60 years)],"C2.6 Do you think you are at increased personal risk of infection with COVID-19 due to any of the following?(please select all relevant responses) [severe pre-existing conditions (e.g. Respiratory diseases, heart diseases, cancer, immune deficiency problem)]",C2.6 Do you think you are at increased personal risk of infection with COVID-19 due to any of the following?(please select all relevant responses) [work environment (e.g. Working in the health care environment and involving in contact with patients)],"C2.6 Do you think you are at increased personal risk of infection with COVID-19 due to any of the following?(please select all relevant responses) [exposure to a risk zone/areas/countries (e.g. China, Italy etc.)]",Susceptibility-scoring {4/4},COVID Practices,D3.1 Do you have any of the following practices to prevent COVID-19 transmission (check all that apply)? [Practicing self-isolation/Home quarantine],D3.1 Do you have any of the following practices to prevent COVID-19 transmission (check all that apply)? [Practicing respiratory hygiene],D3.1 Do you have any of the following practices to prevent COVID-19 transmission (check all that apply)? [washing hand frequently using hand sanitizer (alcohol based)],D3.1 Do you have any of the following practices to prevent COVID-19 transmission (check all that apply)? [Using face mask (Surgical)],"D3.1 Do you have any of the following practices to prevent COVID-19 transmission (check all that apply)? [Avoiding touching 0se, mouth and e1]",D3.1 Do you have any of the following practices to prevent COVID-19 transmission (check all that apply)? [Maintaining social distance (min 1 meter)],D3.4 Do you have any of the following practices 1w a days? [any handshake?] Neg,D3.4 Do you have any of the following practices 1w a days? [Hug?]Neg,D3.4 Do you have any of the following practices 1w a days? [Visiting public places?]Neg,D3.4 Do you have any of the following practices 1w a days? [contact with infected person?]Neg,D3.4 Do you have any of the following practices 1w a days? [You/your family members going church/ mosque/ temple/synagogue/ pagoda for prayer]Neg,Behaviour-scoring {11/11},D3.5 how many times did you wash hand in last 12 hours or 12 hours?,D3.2 Have you been provided with personal protection equipment (PPE) in your workplace?,D3.3 Have you tested yourself for COVID-19?,COVID Psychological Aspects,E4.1 What are your mental health/psychological problems regarding COVID-19? (check all that apply) [Fear of falling ill and dying],E4.1 What are your mental health/psychological problems regarding COVID-19? (check all that apply) [Anxiety],E4.1 What are your mental health/psychological problems regarding COVID-19? (check all that apply) [Depression],E4.1 What are your mental health/psychological problems regarding COVID-19? (check all that apply) [Fear of being socially excluded/placed in quarantine],"E4.1 What are your mental health/psychological problems regarding COVID-19? (check all that apply) [Feelings of helplessness, boredom, loneliness]",Psychological-health Soring{5/5}
6/16/2020 16:31:12,1,Academian/Administration,Maxico,Central America and Mexico,españa,everything,stuff,1,18,3,2.8888,,0,0,0,0,1,0,0,0,0,0,0,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Don't k0w/3,0,1,1,1,3,Totalmente en desacuerdo,6,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,1,4
2020/06/08 11:02:08 PM GMT+7,I confirm my voluntary participation & kind consent,Medical Professionals,Ghana,"West Africa( Ghana, Nigeria)",Tema,Degree,Medical,1,22,1,400,,1,1,1,1,1,1,1,1,1,1,1,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,18,2,999,0,5,2,5,4,4,20,,1,1,1,,1,1,1,3,,1,1,1,1,1,1,1,0,0,0,1,8,0,1,3,,1,0,1,1,1,4
2020/06/17 5:30:49 AM GMT+7,I confirm my voluntary participation & kind consent,Medical Professionals,Ghana,"West Africa( Ghana, Nigeria)",Sunyani,Bsc,Medical,1,21,1,,,1,1,0,1,0,1,1,0,1,1,1,1,,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,17,5,2-14 days,0,3,4,5,4,4,20,,1,0,1,0,0,1,0,1,,1,1,1,1,1,1,1,1,1,1,0,10,0,0,0,,0,0,0,0,0,0
2020/08/10 8:37:55 PM GMT+7,I confirm my voluntary participation & kind consent åŒæ„ã—ã¦é€²ã‚€,Academian/Administration,Japan,"East Asia (China, Japan, South korea)",Nagasaki é•·å´ŽçœŒ,High School é«˜ç­‰å­¦æ ¡å’æ¥­,,1,21,1,0,,1,1,0,1,1,1,1,1,1,1,0,1,,5,1,1,1,0,1,1,,,1,1,1,1,1,1,1,1,1,0,1,1,0,,16,5,2-14 days,0,2,5,4,5,2,18,,1,1,1,1,1,1,1,4,,1,1,1,1,0,1,0,1,0,1,1,8,1,0,0,,1,1,1,1,1,5
2020/07/21 10:28:13 PM GMT+7,I confirm my voluntary participation & kind consent,Academian/Administration,United States,"North America (United States of America, Canada)","Opelika, Alabama",Bachelor of Science,Community,1,35,2,6000,,1,1,1,0,0,0,1,0,1,0,0,1,,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,16,1,2-14 days,0,4,5,5,5,5,24,,1,1,1,0,0,0,0,0,,0,0,0,1,1,1,0,0,0,1,1,5,1,3,0,,0,0,0,0,0,0
2020/06/12 11:33:05 AM GMT+7,I confirm my voluntary participation & kind consent,Others,Australia,"Pacific Region (Australia, New zealand)","NSW, Jerrabomberra",High school (still going),0t working,2,14,1,0,,1,0,0,1,0,0,1,0,0,1,1,1,,,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,16,1,2-14 days,0,5,5,5,5,5,25,,1,1,1,0,0,0,0,0,,1,1,0,0,1,1,1,1,1,1,1,9,1,1,0,,0,1,1,0,1,3
2020/06/07 3:30:26 AM GMT+7,I confirm my voluntary participation & kind consent,Medical Professionals,Zambia,"Southern Africa (South Africa, Malawi, Zambia)","Choma, Southern Province",PhD,Research,1,36,2,25000,,1,1,1,1,1,0,1,0,1,1,0,1,,,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,11,1,2-14 days,0,5,4,4,5,5,23,,1,1,0,1,1,1,1,4,,1,0,0,1,0,1,1,1,1,1,1,8,1,0,0,,0,1,0,1,1,3
2020/06/13 7:54:29 PM GMT+7,I confirm my voluntary participation & kind consent,Medical Professionals,Turkey,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",Aydin,University,Medical,1,35,2,10,,1,1,1,1,1,1,1,1,1,1,1,2,,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,2-14 days,0,4,4,4,4,4,20,,1,1,1,1,1,1,1,4,,1,1,1,1,1,1,1,1,1,1,1,11,1,1,3,,0,0,0,0,0,0
2020/07/09 2:44:07 AM GMT+7,I confirm my voluntary participation & kind consent,Academian/Administration,United States,"North America (United States of America, Canada)","Portland, Oregon",Some college,Furloughed,2,25,2,0,,1,1,1,1,1,1,1,1,1,1,1,4,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,2-14 days,0,1,3,3,4,4,15,,1,1,1,0,1,0,0,1,,1,1,1,0,0,1,1,0,0,1,1,7,1,0,0,,1,1,1,1,1,5
2020/07/09 2:07:45 AM GMT+7,I confirm my voluntary participation & kind consent,Academian/Administration,United States,"North America (United States of America, Canada)",portland or,high school,service industry,2,33,1,1500,,1,1,0,1,1,0,1,0,0,1,1,1,,,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,14,5,2-14 days,1,5,5,5,5,4,24,,1,0,1,0,0,1,0,1,,1,1,1,1,0,1,1,0,0,1,1,8,2,3,0,,1,1,1,1,1,5
2020/06/26 2:37:14 PM GMT+7,I confirm my voluntary participation & kind consent,Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",rajshahi,hsc,Medical,2,19,1,,,1,1,0,1,0,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,19,5,999,0,4,4,3,4,4,19,,1,1,1,1,1,1,1,4,,1,1,1,1,1,1,1,1,1,1,1,11,2,1,0,,1,1,1,1,1,5
2020/06/26 1:27:29 AM GMT+7,I confirm my voluntary participation & kind consent,Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",Dhaka,School,N/A,1,19,1,0,,1,1,1,1,0,0,1,0,1,1,1,1,,,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,14,5,1-7 days,3,5,5,5,5,4,24,,1,1,1,0,1,1,1,3,,1,0,1,1,0,1,0,1,1,1,1,8,2,3,3,,0,0,1,0,1,2
6/15/2020 21:35:44,1,Medical Professionals,Maxico,Central America and Mexico,"So0ra, Hermosillo",college,Community,1,19,1,,,1,1,1,1,1,1,1,0,0,1,1,1,,3,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,11,5,2-14 days,3,4,5,4,5,5,23,,1,1,1,0,0,0,0,0,,1,1,0,0,1,1,1,0,1,1,1,8,2,3,0,,0,1,0,0,1,2
